,date,gameid
906,20110813,LTLG0
907,20110813,WOSK0
908,20110813,OBHH0
909,20110813,HTSS0
910,20110814,LTLG0
911,20110814,WOSK0
912,20110814,OBHH0
913,20110814,HTSS0
914,20110816,LTHT0
915,20110817,SSSK0
916,20110817,LTHT0
917,20110818,LGOB0
918,20110818,HHWO0
919,20110818,SSSK0
920,20110818,LTHT0
921,20110819,HHOB0
922,20110819,HTWO0
923,20110820,HHOB0
924,20110820,HTWO0
925,20110820,LGSS0
926,20110820,SKLT0
927,20110821,HHOB0
928,20110821,HTWO0
929,20110821,LGSS0
930,20110821,SKLT0
931,20110823,WOLG0
932,20110823,OBSK0
933,20110823,HTLT0
934,20110823,SSHH0
935,20110824,WOLG0
936,20110824,OBSK0
937,20110824,HTLT0
938,20110824,SSHH0
939,20110825,WOLG0
940,20110825,OBSK0
941,20110825,HTLT0
942,20110825,SSHH0
943,20110826,SSOB0
944,20110826,LTWO0
945,20110826,LGHH0
946,20110826,SKHT0
947,20110827,SSOB0
948,20110827,LTWO0
949,20110827,LGHH0
950,20110827,SKHT0
951,20110828,SSOB0
952,20110828,LTWO0
953,20110828,LGHH0
954,20110828,SKHT0
955,20110830,HHOB0
956,20110830,LGSK0
957,20110830,SSLT0
958,20110830,WOHT0
959,20110831,WOOB0
960,20110831,LGSK0
961,20110831,SSLT0
962,20110901,WOOB0
963,20110901,LGSK0
964,20110901,HTLT0
965,20110902,LTLG0
966,20110902,WOHH0
967,20110903,LTLG0
968,20110903,OBSK0
969,20110903,WOHH0
970,20110904,LTLG0
971,20110904,OBSK0
972,20110904,WOHH0
973,20110906,OBLG0
974,20110906,SKWO0
975,20110906,HHSS0
976,20110907,OBLG0
977,20110907,SKWO0
978,20110907,HHSS0
979,20110908,OBLG0
980,20110908,HHWO0
981,20110908,LTSK0
982,20110908,SSHT0
983,20110909,HTOB0
984,20110909,HHWO0
985,20110909,LTSK0
986,20110910,HTOB0
987,20110910,HHSK0
988,20110910,LGSS0
989,20110910,WOLT0
990,20110911,HTOB0
991,20110911,HHSK0
992,20110911,LGSS0
993,20110911,WOLT0
994,20110913,OBLG0
995,20110913,WOSK0
996,20110913,HTHH0
997,20110913,LTSS0
998,20110914,OBLG0
999,20110914,WOSK0
1000,20110914,HTHH0
1001,20110914,LTSS0
1002,20110915,SKLG0
1003,20110915,OBWO0
1004,20110915,LTHH0
1005,20110916,SKLG0
1006,20110916,OBWO0
1007,20110916,LTHH0
1008,20110917,LTOB0
1009,20110917,SSWO0
1010,20110917,HHSK0
1011,20110918,LTOB0
1012,20110918,SSWO0
1013,20110918,HHSK0
1014,20110918,LGHT0
1015,20110920,WOLG0
1016,20110920,OBSS0
1017,20110920,SKLT0
1018,20110921,WOLG0
1019,20110921,OBSS0
1020,20110921,SKLT0
1021,20110922,WOLG0
1022,20110922,OBHH0
1023,20110922,HTSS0
1024,20110922,SKLT0
1025,20110923,OBHH0
1026,20110923,WOSS0
1027,20110924,SKLG0
1028,20110924,LTHH0
1029,20110924,WOSS0
1030,20110924,OBHT0
1031,20110925,SKLG0
1032,20110925,LTHH0
1033,20110925,WOSS0
1034,20110925,OBHT0
1035,20110927,SSOB0
1036,20110927,WOSK0
1037,20110928,SSOB0
1038,20110928,WOSK0
1039,20110928,LGHH0
1040,20110929,HTOB0
1041,20110929,LGWO0
1042,20110929,SSSK0
1043,20110930,HHWO0
1044,20110930,SSSK0
1045,20110930,OBLT0
1046,20111001,LGOB0
1047,20111001,HHWO0
1048,20111001,SSSK0
1049,20111002,LGOB0
1050,20111002,HHWO0
1051,20111003,LGOB0
1052,20111003,SKSS0
1053,20111004,SSLG0
1054,20111004,HHLT0
1055,20111004,SKHT0
1056,20111005,SSLG0
1057,20111005,OBWO0
1058,20111005,HHLT0
1059,20111005,SKHT0
1060,20111006,SSLG0
1061,20111006,OBWO0
1062,20111006,HHLT0
1063,20111006,SKHT0
1064,20120407,HTSK0
1065,20120407,HHLT0
1066,20120407,WOOB0
1067,20120407,LGSS0
1068,20120408,WOOB0
1069,20120408,HTSK0
1070,20120408,LGSS0
1071,20120408,HHLT0
1072,20120411,LTLG0
1073,20120411,SKWO0
1074,20120411,SSHT0
1075,20120411,OBHH0
1076,20120412,LTLG0
1077,20120412,SKWO0
1078,20120412,SSHT0
1079,20120412,OBHH0
1080,20120413,HTLG0
1081,20120413,HHSK0
1082,20120413,WOSS0
1083,20120413,OBLT0
1084,20120414,HTLG0
1085,20120414,HHSK0
1086,20120414,WOSS0
1087,20120414,OBLT0
1088,20120415,HTLG0
1089,20120415,HHSK0
1090,20120415,WOSS0
1091,20120415,OBLT0
1092,20120417,SSOB0
1093,20120417,HTWO0
1094,20120417,SKLT0
1095,20120417,LGHH0
1096,20120418,SSOB0
1097,20120418,HTWO0
1098,20120418,SKLT0
1099,20120418,LGHH0
1100,20120419,SSOB0
1101,20120419,HTWO0
1102,20120419,SKLT0
1103,20120419,LGHH0
1104,20120420,SKLG0
1105,20120420,OBWO0
1106,20120420,LTHT0
1107,20120420,SSHH0
1108,20120422,SSHH0
1109,20120424,WOLG0
1110,20120424,OBSK0
1111,20120424,LTSS0
1112,20120424,HHHT0
1113,20120426,WOLG0
1114,20120426,OBSK0
1115,20120426,LTSS0
1116,20120426,HHHT0
1117,20120427,HTOB0
1118,20120427,SSSK0
1119,20120427,LGLT0
1120,20120427,WOHH0
1121,20120428,HTOB0
1122,20120428,SSSK0
1123,20120428,LGLT0
1124,20120428,WOHH0
1125,20120429,HTOB0
1126,20120429,SSSK0
1127,20120429,LGLT0
1128,20120429,WOHH0
1129,20120501,HHLG0
1130,20120501,LTWO0
1131,20120502,HHLG0
1132,20120502,LTWO0
1133,20120502,OBSS0
1134,20120503,HHLG0
1135,20120503,LTWO0
1136,20120503,OBSS0
1137,20120503,SKHT0
1138,20120504,OBLG0
1139,20120504,LTSK0
1140,20120504,HHSS0
1141,20120504,WOHT0
1142,20120505,LTSK0
1143,20120505,OBLG0
1144,20120505,HHSS0
1145,20120505,WOHT0
1146,20120506,OBLG0
1147,20120506,LTSK0
1148,20120506,HHSS0
1149,20120506,WOHT0
1150,20120508,SKOB0
